SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
ACARBOSE,ACARBOSE 100 MG TAB 30'S(N),DIABETES MELLITUS TYPE 2,E11
ACARBOSE,ACARBOSE 100 MG TAB 30'S(N),HYPOGLYCEMIA - POSTPRANDIAL HYPERINSULINEMIC HYPOGLYCEMIA AFTER GASTRIC BYPASS SURGERY,"E16.1, E16.2, K91.1"
ACARBOSE,ACARBOSE 100 MG TAB 90'S(N),DIABETES MELLITUS TYPE 2,E11
ACARBOSE,ACARBOSE 100 MG TAB 90'S(N),HYPOGLYCEMIA - POSTPRANDIAL HYPERINSULINEMIC HYPOGLYCEMIA AFTER GASTRIC BYPASS SURGERY,"E16.1, E16.2, K91.1"
ACARBOSE,ACARBOSE 50 MG TAB 30'S(N),DIABETES MELLITUS TYPE 2,E11
ACARBOSE,ACARBOSE 50 MG TAB 30'S(N),HYPOGLYCEMIA - POSTPRANDIAL HYPERINSULINEMIC HYPOGLYCEMIA AFTER GASTRIC BYPASS SURGERY,"E16.1, E16.2, K91.1"
ACARBOSE,ACARBOSE 50 MG TAB 90'S(N),DIABETES MELLITUS TYPE 2,E11
ACARBOSE,ACARBOSE 50 MG TAB 90'S(N),HYPOGLYCEMIA - POSTPRANDIAL HYPERINSULINEMIC HYPOGLYCEMIA AFTER GASTRIC BYPASS SURGERY,"E16.1, E16.2, K91.1"
ACETAZOLAMIDE,ACETAZOLAMIDE 500MG INJECTION 1'S (N),VERTIGO - MENIERE'S DISEASE,H81
ACETAZOLAMIDE,ACETAZOLAMIDE 500MG INJECTION 1'S (N),CYSTOID MACULAR EDEMA,"H26.4, H26.8"
ACETAZOLAMIDE,ACETAZOLAMIDE 500MG INJECTION 1'S (N),NON-INFECTIOUS UVEITIS,"H20, H30, H44.0, H44.1, M05.2, M08.2, M35.2, M45.6"
ACETAZOLAMIDE,ACETAZOLAMIDE TAB 250MG-100'S  (APO-ACETAZOLAMIDE) (N),VERTIGO - MENIERE'S DISEASE,H81
ACETAZOLAMIDE,ACETAZOLAMIDE TAB 250MG-100'S  (APO-ACETAZOLAMIDE) (N),CYSTOID MACULAR EDEMA,"H26.4, H26.8"
ACETAZOLAMIDE,ACETAZOLAMIDE TAB 250MG-100'S  (APO-ACETAZOLAMIDE) (N),NON-INFECTIOUS UVEITIS,"H20, H30, H44.0, H44.1, M05.2, M08.2, M35.2, M45.6"
ACYCLOVIR,ACICLOVIR 3% EO 4.5G (N),BELL'S PALSY,G51.0
ACYCLOVIR,ACICLOVIR 3% EO 4.5G (N),MULTIPLE MYELOMA,C90.0
ACYCLOVIR,ACICLOVIR 3% EO 4.5G (N),ANTIMICROBIAL PROPHYLAXIS IN CANCER PATIENTS,Z29.8
ACYCLOVIR,ACICLOVIR 3% EO 4.5G (N),INFECTIOUS UVEITIS,"B00.5, B02.3, B25.9, B34.9"
ACYCLOVIR,ACICLOVIR 3% EO 4.5G (N),Septic Shock,"R57.2, R65.21"
ACYCLOVIR,ACICLOVIR 3% EO 5G (N),BELL'S PALSY,G51.0
ACYCLOVIR,ACICLOVIR 3% EO 5G (N),MULTIPLE MYELOMA,C90.0
ACYCLOVIR,ACICLOVIR 3% EO 5G (N),ANTIMICROBIAL PROPHYLAXIS IN CANCER PATIENTS,Z29.8
ACYCLOVIR,ACICLOVIR 3% EO 5G (N),INFECTIOUS UVEITIS,"B00.5, B02.3, B25.9, B34.9"
ACYCLOVIR,ACICLOVIR 3% EO 5G (N),Septic Shock,"R57.2, R65.21"
ACITRETIN,ACITRETIN 10 MG CAP 60'S (N),PSORIASIS,L40
ACITRETIN,ACITRETIN 10 MG CAP 60'S (N),LICHEN PLANUS,L43
ACITRETIN,ACITRETIN 10 MG CAP 60'S (N),SYSTEMIC LUPUS ERYTHEMATOSUS,M32
ACITRETIN,ACITRETIN 25 MG CAP 60'S (N),PSORIASIS,L40
ACITRETIN,ACITRETIN 25 MG CAP 60'S (N),LICHEN PLANUS,L43
ACITRETIN,ACITRETIN 25 MG CAP 60'S (N),SYSTEMIC LUPUS ERYTHEMATOSUS,M32
ACTIVATED CHARCOAL,ACTIVATED CHARCOAL FOR ORAL SUSPENSION 50G (N),POISONING - DECONTAMINATION,T36-T65
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),HYPOTENSION,I95
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),URTICARIA,L50
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),BURN MANAGEMENT,T30
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),ACUTE KIDNEY INJURY (AKI),N17
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),"ANESTHESIA-SUPPORTIVE AGENTS/ CARDIAC ARREST, CARDIOVASCULAR EMERGENCIES AND/OR DYSRHYTHMIAS","Y48, T41, T88.2, T88.5"
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),ANAPHYLACTIC SHOCK,T78.2
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),BRADYCARDIA,R00.1
ADRENALINE,ADRENALINE 0.15 AUTO INJECTOR (N),Septic Shock,"R57.2, R65.21"
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),HYPOTENSION,I95
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),URTICARIA,L50
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),BURN MANAGEMENT,T30
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),ACUTE KIDNEY INJURY (AKI),N17
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),"ANESTHESIA-SUPPORTIVE AGENTS/ CARDIAC ARREST, CARDIOVASCULAR EMERGENCIES AND/OR DYSRHYTHMIAS","Y48, T41, T88.2, T88.5"
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),ANAPHYLACTIC SHOCK,T78.2
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),BRADYCARDIA,R00.1
ADRENALINE,ADRENALINE 0.3 AUTO INJECTOR (N),Septic Shock,"R57.2, R65.21"
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),HYPOTENSION,I95
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),URTICARIA,L50
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),BURN MANAGEMENT,T30
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),ACUTE KIDNEY INJURY (AKI),N17
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),"ANESTHESIA-SUPPORTIVE AGENTS/ CARDIAC ARREST, CARDIOVASCULAR EMERGENCIES AND/OR DYSRHYTHMIAS","Y48, T41, T88.2, T88.5"
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),ANAPHYLACTIC SHOCK,T78.2
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),BRADYCARDIA,R00.1
ADRENALINE,ADRENALINE 1 MG / 1ML AMP (N),Septic Shock,"R57.2, R65.21"
POLIDOCANOL,AETHOXYSKLEROL 0.5% (N),VARICOSE VEINS / HAEMORRHOIDS / SCLEROTHERAPY,"I83, I84, K64"
POLIDOCANOL,AETHOXYSKLEROL 1% (N),VARICOSE VEINS / HAEMORRHOIDS / SCLEROTHERAPY,"I83, I84, K64"
POLIDOCANOL,AETHOXYSKLEROL 3% (N),VARICOSE VEINS / HAEMORRHOIDS / SCLEROTHERAPY,"I83, I84, K64"
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),HOOKWORM-CUTANEOUS LARVA MIGRANS,B76.0
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),ASCARIASIS,B77
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),HOOKWORM,B76
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),"PINWORM (ENTEROBIASIS, OXYURIASIS, THREADWORM)",B80
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),STRONGYLOIDIASIS,B78. 9
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),TAENIASIS,B68
ALBENDAZOLE,ALBENDAZOLE 200 MG TAB 6'S(N),TRICHINELLOSIS (ALSO KNOWN AS TRICHINOSIS),B75
